#Fixed HDF5, Moving HDF5, Shift[0] (um), Shift[1] (um), Distance (nm), start key, end key, method, sig key, reference hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211004_0003_15_inner_1.hdf5,-0.684,0.221,719.37,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211005_0000_15_inner_2.hdf5,-0.628,0.115,638.49,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211004_0002_15_outer_1.hdf5,-0.802,0.236,836.55,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210922_0005_22.5_inner_1.hdf5,0.500,0.284,575.24,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210922_0004_22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210923_0000_22.5_inner_2.hdf5,0.545,0.139,562.20,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210922_0004_22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211007_0005_22.5_inner_1.hdf5,-1.372,0.125,1377.89,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210922_0004_22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211008_0000_22.5_inner_1.hdf5,0.878,-0.252,913.69,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210922_0004_22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211007_0004_22.5_outer_1.hdf5,-1.300,0.134,1307.09,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210922_0004_22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210916_0005_30_inner_1.hdf5,0.883,0.175,900.37,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210917_0000_30_inner_2.hdf5,0.891,0.330,950.00,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210917_0001_30_inner_3.hdf5,1.006,0.331,1059.21,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211018_0002_30_inner_1.hdf5,-1.692,-0.134,1697.03,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211018_0003_30_inner_2.hdf5,-1.542,0.091,1544.45,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211015_0003_30_outer_1.hdf5,-1.736,0.095,1738.83,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210916_0004_30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210911_0004_37.5_inner_1.hdf5,1.018,0.185,1034.47,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211013_0003_37.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210911_0005_37.5_inner_2.hdf5,0.870,0.211,895.41,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211013_0003_37.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211013_0004_37.5_inner_1.hdf5,-1.926,0.228,1939.67,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211013_0003_37.5_outer_1.hdf5
